scenario,question_no,condition,repeat,expected,verdict,correct,seconds,prompt_tokens,rule_verdict
1_compliant,1,rules,0,Pass,Pass,True,0,,Pass
1_compliant,1,llm_blind,1,Pass,Pass,True,182.8,5972,Pass
1_compliant,1,llm_hints,1,Pass,Pass,True,110.9,6044,Pass
1_compliant,2,rules,0,Pass,Pass,True,0,,Pass
1_compliant,2,llm_blind,1,Pass,Pass,True,37.1,739,Pass
1_compliant,2,llm_hints,1,Pass,Pass,True,25.6,789,Pass
1_compliant,3,rules,0,Pass,Pass,True,0,,Pass
1_compliant,3,llm_blind,1,Pass,Pass,True,37.8,796,Pass
1_compliant,3,llm_hints,1,Pass,Pass,True,31.6,902,Pass
1_compliant,4,rules,0,Pass,Pass,True,0,,Pass
1_compliant,4,llm_blind,1,Pass,Pass,True,26.1,650,Pass
1_compliant,4,llm_hints,1,Pass,Pass,True,27.6,739,Pass
1_compliant,5,rules,0,Pass,Pass,True,0,,Pass
1_compliant,5,llm_blind,1,Pass,Pass,True,23.4,689,Pass
1_compliant,5,llm_hints,1,Pass,Pass,True,25.9,741,Pass
2_non_compliant,1,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,1,llm_blind,1,Fail,Flag,False,283.2,5869,Fail
2_non_compliant,1,llm_hints,1,Fail,Fail,True,144.1,6220,Fail
2_non_compliant,2,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,2,llm_blind,1,Fail,Flag,False,50.1,715,Fail
2_non_compliant,2,llm_hints,1,Fail,Flag,False,49.0,845,Fail
2_non_compliant,3,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,3,llm_blind,1,Fail,Flag,False,37.1,713,Fail
2_non_compliant,3,llm_hints,1,Fail,Flag,False,44.2,819,Fail
2_non_compliant,4,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,4,llm_blind,1,Fail,Flag,False,22.4,365,Fail
2_non_compliant,4,llm_hints,1,Fail,Fail,True,24.6,408,Fail
2_non_compliant,5,rules,0,Fail,Fail,True,0,,Fail
2_non_compliant,5,llm_blind,1,Fail,Fail,True,31.9,589,Fail
2_non_compliant,5,llm_hints,1,Fail,Fail,True,30.2,658,Fail
3_tampered,1,rules,0,Flag,Flag,True,0,,Flag
3_tampered,1,llm_blind,1,Flag,Pass,False,144.2,5972,Flag
3_tampered,1,llm_hints,1,Flag,Flag,True,173.8,6161,Flag
3_tampered,2,rules,0,Flag,Flag,True,0,,Flag
3_tampered,2,llm_blind,1,Flag,Pass,False,41.9,739,Flag
3_tampered,2,llm_hints,1,Flag,Flag,True,49.6,834,Flag
3_tampered,3,rules,0,Flag,Flag,True,0,,Flag
3_tampered,3,llm_blind,1,Flag,Pass,False,36.2,797,Flag
3_tampered,3,llm_hints,1,Flag,Flag,True,49.5,935,Flag
3_tampered,4,rules,0,Flag,Flag,True,0,,Flag
3_tampered,4,llm_blind,1,Flag,Flag,True,47.7,628,Flag
3_tampered,4,llm_hints,1,Flag,Flag,True,50.7,755,Flag
3_tampered,5,rules,0,Flag,Flag,True,0,,Flag
3_tampered,5,llm_blind,1,Flag,Pass,False,19.6,689,Flag
3_tampered,5,llm_hints,1,Flag,Flag,True,55.2,798,Flag
4_rules_blind_spot,1,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,1,llm_blind,1,Fail,Pass,False,174.7,5954,Pass
4_rules_blind_spot,1,llm_hints,1,Fail,Pass,False,108.0,6026,Pass
4_rules_blind_spot,2,rules,0,Fail,Pass,False,0,,Pass
4_rules_blind_spot,2,llm_blind,1,Fail,Flag,False,49.9,789,Pass
4_rules_blind_spot,2,llm_hints,1,Fail,Flag,False,31.4,839,Pass
4_rules_blind_spot,3,rules,0,Pass,Pass,True,0,,Pass
4_rules_blind_spot,3,llm_blind,1,Pass,Pass,True,34.7,796,Pass
4_rules_blind_spot,3,llm_hints,1,Pass,Pass,True,31.2,902,Pass
4_rules_blind_spot,4,rules,0,Flag,Pass,False,0,,Pass
4_rules_blind_spot,4,llm_blind,1,Flag,Flag,True,44.2,656,Pass
4_rules_blind_spot,4,llm_hints,1,Flag,Flag,True,43.9,745,Pass
4_rules_blind_spot,5,rules,0,Flag,Pass,False,0,,Pass
4_rules_blind_spot,5,llm_blind,1,Flag,Flag,True,26.4,609,Pass
4_rules_blind_spot,5,llm_hints,1,Flag,Flag,True,34.8,661,Pass
5_original_demo,1,rules,0,Fail,Fail,True,0,,Fail
5_original_demo,1,llm_blind,1,Fail,Flag,False,74.5,1726,Fail
5_original_demo,1,llm_hints,1,Fail,Fail,True,74.7,2070,Fail
5_original_demo,2,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,2,llm_blind,1,Flag,Pass,False,26.1,476,Flag
5_original_demo,2,llm_hints,1,Flag,Flag,True,28.9,532,Flag
5_original_demo,3,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,3,llm_blind,1,Flag,Pass,False,23.8,429,Flag
5_original_demo,3,llm_hints,1,Flag,Flag,True,33.3,537,Flag
5_original_demo,4,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,4,llm_blind,1,Flag,Flag,True,30.5,406,Flag
5_original_demo,4,llm_hints,1,Flag,Flag,True,32.3,521,Flag
5_original_demo,5,rules,0,Flag,Flag,True,0,,Flag
5_original_demo,5,llm_blind,1,Flag,Flag,True,20.7,297,Flag
5_original_demo,5,llm_hints,1,Flag,Flag,True,22.6,406,Flag
